,Ready,Label
0,fadli zon mendagri menonaktifkan ahok gubernur dki,0
1,melukai aksi rangka memenjarakan ahok ahok gagal pemilihan kepala daerah,0
2,sylvi gurbernur kekerasan perempuan bukti nya foto bareng debatfinalpilkadajkt,0
3,ahmad dhani puas debat pemilihan kepala daerah jalan bekasi terungkap,0
4,waspada ktp palsu kawal pemilihan kepala daerah,0
5,bnyak agamis dibahas pemilihan kepala daerah tingkat keimanan sebatas pemilihan kepala daerah,0
6,maksud pernyataan mengaminkan kriminalisasi ahok hati dg mulut mu,0
7,ahok integrasikan transportasi publik sistem single ticketing infotribun,0
8,ahok melawan korupsi ibukota bangun infrastruktur mencoba memperbaiki trobosan works well,0
9,awasi kecurangan pemilihan kepala daerah agus sylvi pakai aplikasi,0
10,gak jokowi ahok kalem melengkapi ',0
11,bos makan istana ga undang noh makan istana gebang nya,0
12,cuti habis ahok gubernur dki pengamat mengada republika online,0
13,debat pemilihan kepala daerah dki jakarta digelar jumat malam,0
14,demonstran fpd malteng desak bawaslu hentikan tahapan pemilihan kepala daerah malu ku,0
15,didesak berhentikan ahok berkilah cuti pemilihan kepala daerah kampanye habis kemendagri ragu ragu,0
16,gila gara pemilihan kepala daerah tokoh menampakkan watak asli nya,0
17,gontor izinkan santri nya pulang kampung mencoblos pemilihan kepala daerah dki republika online,0
18,gubernur non aktif dki jakarta basuki tjahaja purnama ahok berencana merombak struktur jabatan pegawai,0
19,hebat imam masjid istiqlal kalimat ahok penistaan agama sebarkan,0
20,beli telor pakai milih sblm ditimbang pdh telor telor busuk,0
21,ahok terkait persiapan debat pilgub besok,0
22,pesan ahok pers nasional kitapastipernah,0
23,istighotsah ahok catut logo nu,0
24,bicara pilih ahok djarot ngerasain banjir ga sih,0
25,iya deh dripada isu bohong,0
26,pelacur belia dijual orang tua nya pantura sesuap nasi,0
27,nyebar isu bohong ketahuan akun twitter nya lho,0
28,mpok tolong mas,0
29,bidara beli mangga pulang nye liwat slipi lupa ingetin tetangga milih agus sylvi harilagimilihahy agusbersamaulama,0
30,serius selipan hiburan nya ude ude ude pilkadadki debatfinalpilkadajkt,0
31,sylvie sukses blunder bikin paslon drop elektabilitasnya fitnah spin salah pilih kader debatfinalpilkadajkt,0
32,ahok mari berlomba program debatfinalpilkadajkt,0
33,debatfinalpilkadajkt aduh kecewa paslon,0
34,debatfinalpilkadajkt pilih nomor sektor informal dimajukan mas agus mpok sylvi,0
35,ahok pilihan terbaik jakarta,0
36,debatfinalpilkadajkt bu silvy curhat dimarahi ahok he,0
37,mantap ahok debatfinalpilkadajkt,0
38,ahok gagah kaya gatot kaca debatfinalpilkadajkt,0
39,telaaaakkk nomer satuuuu nghahahaha debatfinalpilkadajkt,0
40,lomba adu program debatfinalpilkadajkt skaksilvi,0
41,debatfinalpilkadajkt denger program janji pas ga dijalankan nya males sih,0
42,debat cagub dki februari segmen mantap ahok skak sylviana murni debatfinalpilkadajkt,0
43,silvy rada maksa debatfinalpilkadajkt,0
44,tanggal pas pemilihan kepala daerah gak milih ah,0
45,pribadi prefer muslim kapabilitas lihat kondisi nya ahok pilihan realistis kemajuan dki,0
46,mendukung mas anies anti ahok,0
47,spanduk tolak salatkan pembela penista agama muncul kalibata,0
48,debatfinalpilkadajkt telak banget anjing tertawa,0
49,ayo berlomba program fitnah debatfinalpilkadajkt,0
50,ngantuk yeay debatfinalpilkadajkt,0
51,aduh dibilang ga program paslon kasihan kasihan kasihan debatfinalpilkadajkt,0
52,tuntut keadilan penista agama puluhan jawara betawi ikuti aksi jilid ii,0
53,keras ahok debatfinalpilkadajkt,0
54,paslon anies sandiaga uno feb jakarta indonesia raya ok oce,0
55,sesuai nama nya ronde final debatfinalpilkadajkt,0
56,mendagri pusing ma emoh keluarkan fatwa status gubernur penista agama,0
57,tolong adu program,0
58,genderang perang kencang debatfinalpilkadajkt,0
59,mpok sylvi emosi ude debatfinalpilkadajkt,0
60,some people gabisa bedain kasar debatfinalpilkadajkt,0
61,beliau pemimpin hebat indonesia bangga,0
62,bu silvy pengen foto ahok hihihi debatfinalpilkadajkt,0
63,debatfinalpilkadajkt serang deh,0
64,baca biar mendinginkan suasana debatfinalpilkadajkt,0
65,ayo berlomba program pitnah doank debatfinalpilkadajkt badjapastimenang,0
66,pokok nya ahok bicara aduuuuuuh kelar debatfinalpilkadajkt,0
67,senjata makan tuan debatfinalpilkadajkt debatfinaldki,0
68,ahok kekerasan verbal koruptor dielus debatfinalpilkadajkt,0
69,gak program diserang diserang karakter nya ahay ude debatfinalpilkadajkt,0
70,terkait jakarta ramah anak tanggapan,0
71,emang ok oce anies sandi mengatasi urbanisasi lapangan kerja debatfinalpilkadajkt,0
72,suporter nya kampungan paslon bicara debatfinalpilkadajkt,0
73,seru debatfinalpilkadajkt,0
74,debatfinalpilkadajkt menangis menangis ketonjok,0
75,debat malam pilihan mu jatuh paslon debatfinalpilkadajkt debat pilkadadki,0
76,wkwkwk deh pilih anies sandi debatfinalpilkadajkt,0
77,fitnah kejam loh pembunuhan debatfinalpilkadajkt,0
78,mari debatsehat coba pakai datasesat debatfinalpilkadajkt debatfinaldikompastv,0
79,apapun keberanian ahok membongkar mafia anggaran tonggak apbd kredibel akuntabel,0
80,wujud nasional is me dagangan nya hebat,0
81,dosen asli nya,0
82,kampanye uda deklarasi anti sara pikir no lebih baik no,0
83,debatfinalpilkadajkt mateng mpok silvy bombardir ahok cerdas ahok,0
